timestamp,btc_exchange_netflow_usd,active_sending_addresses,active_receiving_addresses,onchain_volume_usd,open,low,high,close,mint_reward_usd,total_fee_usd,transaction_count,exchange_to_wallet_usd,wallet_to_exchange_usd,RV_MA_1hr,RV_MA_3hr,RV_MA_12hr,hourly_return,vol_future,whale_net_usd,whale_net_usd_24h,whale_burst_flag,etow_usd_log,etow_coins_log,whale_txn_count_log,wtoe_usd_log,wtoe_coins_log,eth_to_btc_spill
2024-11-05 00:00:00+00:00,-66624223.863966785,19980.0,31653.0,0.5922673784427215,67874.04,67726.42,68101.9,67984.55,849736.2812500002,-0.0106975554573755,0.1138797377996384,-0.7453403207201826,0.9627286556063028,-4.8567692313756,-4.733024949145225,-4.969959148768068,0.0038889718325707,-4.859670808272169,-53625145,65422718.0,1,17.79752865781947,6.665683717782408,-0.6065160746392584,0.0,0.0,0.0
2024-11-05 01:00:00+00:00,1639839.94882245,10421.0,16253.0,-2.226319721223432,68040.42,67517.08,68063.82,67930.69,425137.19642857154,-1.671009236803478,-1.291815568698078,-2.080216651257572,-1.8649187018644844,-4.955706908640378,-4.788751129743695,-4.941930490369559,-0.0007928669648431,-5.114446554141025,-53625145,65422718.0,1,17.79752865781947,6.665683717782408,-0.6065160746392584,0.0,0.0,0.0
2024-11-05 02:00:00+00:00,-8418987.802708156,32446.0,49217.0,-0.1459635526543517,67971.14,67801.24,68007.02,67860.73,1486316.0133928573,0.2041678241723302,0.8216688167744176,0.1537764801182015,0.4666079296598474,-4.859670808272169,-4.890715649429382,-4.9117295924619775,-0.0010309349752059,-5.298418610196152,-53625145,65422718.0,1,17.79752865781947,6.665683717782408,-0.6065160746392584,0.0,0.0,0.0
2024-11-05 03:00:00+00:00,9149680.119458493,14226.0,26882.0,-0.894823141290235,67888.4,67815.46,68158.94,68158.94,637955.861607143,-0.6562280547779601,-1.264216720487071,-0.1245050557348215,-0.2083938598286613,-5.114446554141025,-4.976608090351191,-4.919964438245009,0.0043752147553938,-4.893299550497624,-53625145,65422718.0,1,17.79752865781947,6.665683717782408,-0.6065160746392584,0.0,0.0,0.0
2024-11-05 04:00:00+00:00,-78602333.81720027,33326.0,34409.0,-0.0113217504586761,68211.29,68115.09,68436.16,68265.49,1708395.3169642857,-0.3045697882758882,1.1750743816467066,-0.97887184032363,1.055606363905188,-5.298418610196152,-5.090845324203115,-4.975435286180297,0.0015608179183948,-4.780499326982912,-53625145,65422718.0,1,17.79752865781947,6.665683717782408,-0.6065160746392584,0.0,0.0,0.0
2024-11-05 05:00:00+00:00,-10026756.962277329,16460.0,18427.0,-1.914237473050612,68273.81,68273.81,68704.77,68588.24,1923540.0758928575,-0.6280246404933869,2.7413862203502735,-1.525190761713331,-0.4325899457254719,-4.893299550497624,-5.102054904944933,-4.972809181725645,0.0047056171728564,-4.711104000930973,-53625145,65422718.0,1,17.79752865781947,6.665683717782408,-0.6065160746392584,0.0,0.0,0.0
2024-11-05 06:00:00+00:00,5550166.119834557,32013.0,23314.0,-1.0577299222130836,68729.17,68469.12,68781.46,68616.95,1501476.2767857143,-0.2860488056653082,0.7170722200362919,0.2345502053617783,0.2461965106311605,-4.780499326982912,-4.990739162558896,-4.960717384220021,0.0004184097369526,-4.610348350479487,-53625145,65422718.0,1,17.79752865781947,6.665683717782408,-0.6065160746392584,0.0,0.0,0.0
2024-11-05 07:00:00+00:00,61069895.84857228,36463.0,24960.0,-1.4032517375486513,68622.69,68494.12,68915.7,68751.4,2363211.446428572,-0.0332417712373773,2.153212808278585,0.7206997156581411,-1.070806019556383,-4.711104000930973,-4.794967626137169,-4.933709822342055,0.0019555965405794,-4.4611327300919905,-53625145,65422718.0,1,17.79752865781947,6.665683717782408,-0.6065160746392584,0.0,0.0,0.0
2024-11-05 08:00:00+00:00,-43385445.5647864,21756.0,18785.0,-0.0629109700527925,68777.62,68711.83,68978.23,68908.09,860961.7098214286,-0.7848262889694793,-0.2828838413645067,0.1462675459004484,0.9705851584285778,-4.610348350479487,-4.700650559464457,-4.915052907434721,0.0022738984638814,-4.643506034666215,-53625145,65422718.0,1,17.79752865781947,6.665683717782408,-0.6065160746392584,0.0,0.0,0.0
2024-11-05 09:00:00+00:00,70648808.42337689,22392.0,25858.0,-0.5487313331471293,69040.35,68681.79,69059.46,68681.79,861002.6026785714,-0.6996219147330847,-0.5181181477539349,1.0622120630762986,-0.319643468823779,-4.4611327300919905,-4.594195027167483,-4.823641807305699,-0.0032949053890413,-4.951634125764238,-53625145,65422718.0,1,17.79752865781947,6.665683717782408,-0.6065160746392584,0.0,0.0,0.0
